bug_id,bug_title,bug_description,bug_tags,priority,severity,area_path,iteration_path,state
86718,unable to fully load the structure dmh47x_d471938_mig03,"Copied from Repro Steps when changed from Bug to User Story Login to https://test.platon.daimlertruck.com/awc/ Search for dmh47x_d471938_mig03 In the search results , click open in the right side click on the tab ""3D"" The image keeps on loading with the loading circle keeps on rotating . Sometimes the user gets the below error same issue with DMH47X_D471926_MIG04 my observation is it never loads beyond the 314 MB even after repeated attempts. Let me know if you need any further information .",Infrastructure; Team 6,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI4\Sprint 4.3,Closed
87167,Teamcenter Infrastructure Configuration | PreProd - WebServer High-Availability isn't working,,Team 6,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI3\Sprint 3.1,Closed
87556,01-26318-004 Revision 0001.004 Missing Attributes ChangeNumber,,R_24.01; Team 4; TN,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
88371,01-33671 Revision 0001.001 Release state of 3D CDI >>> 0001.001,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM,Rejected
88375,01-33671 Revision 0001.03 Last Modified Date in >>> 0001.001,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM,Rejected
88389,01-33671_DTNA01 Revisions All Broken Images in the Search Results,,R_24.01; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.4,Closed
88397,direct model dataset not available in 01-33671 >>> 0001.003,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM,Rejected
88409,Identify reference drawing in AWC >>> 01-33672 >>> 0001.003,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM,Rejected
91001,Tif files lost during migration,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM,Rejected
92093,Release status not available - A18-72521-000 - 6.002,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM,Rejected
93069,A18-72521-000 Revision 0005.002 Mapping of ESD-Code,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
95007,18-71631-000 Revision 0001.003 Multiple Geos in 3D Viewer,,R_24.01; Team 1; Team 4,2,2 - High,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
95510,A18-72521-000 Revision 0006.002 Same description in all geometry revisions,,R_24.01; Team 1; Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
95533,01-33671 Revision 0001.003 More versions in Platon than in Smaragd,,Int_Test_Done; NX; PlanA; Spillover; Team 4,3,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI5\Sprint 5.1,Closed
95754,01-33679_DTNA01 Revision 0001.011 TIFF files missing,,R_24.01; T4_Taskforce; Team 4; TN,2,1 - Critical,104 newPDM\PLATON\Team 4,104 newPDM\PI4\Sprint 4.1,Closed
95755,04-35196-101_DTNA01-0010.001 >>> No UGMASTER data set for Part/Assembly Design Revision,,Team 1,2,3 - Medium,104 newPDM\PLATON\Team 1,104 newPDM,Rejected
95757,04-35196-101_DTNA01-0010.001 >>> How to identify the 3D CDI TRAFO,,Team 1,2,3 - Medium,104 newPDM\PLATON\Team 1,104 newPDM\PI4\Sprint 4.1,Closed
96251,I'm not able to open 3D in PLATON test environment,,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI3\Sprint 3.1,Closed
96449,unable to create item in platon Dev environment,,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI3\Sprint 3.1,Rejected
96456,I'm not able to open 3D in PLATON test environment,,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI3\Sprint 3.1,Rejected
96459,I'm unable to open 3D in PLATON test environment,,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2\Sprint 2.4,Closed
96461,Not able to create item in PLATON dev environment,,,2,3 - Medium,104 newPDM\PLATON\Team 6,104 newPDM\PI2\Sprint 2.4,Closed
96796,04-35196-101_1_DTNA01/0005.001 >>> Dataset Missing,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM,Rejected
96808,18-71631-000-0001.003 >>> Version conflict,,Team 4,2,3 - Medium,104 newPDM\PLATON\Team 4,104 newPDM\PI3\Sprint 3.3,Closed
