WorkItemId,Title,LinkedWorkItemId,LinkedTitle,LinkedType
476640,"Check-out, edit and cancel check-out",42139,"Check-out, edit and cancel check-out",Test Case
476641,"User A Checked-out a Part, User B can't see changes of the Part",42139,"Check-out, edit and cancel check-out",Test Case
41993,Check-out of single part,42144,"User A Checked-out a Part, User B can't see changes of the Part",Test Case
42137,Check-out already checked-out part,42144,"User A Checked-out a Part, User B can't see changes of the Part",Test Case
42139,"Check-out, edit and cancel check-out",42144,"User A Checked-out a Part, User B can't see changes of the Part",Test Case
41737,Create a new single part,42144,"User A Checked-out a Part, User B can't see changes of the Part",Test Case
41737,Create a new single part,42144,"User A Checked-out a Part, User B can't see changes of the Part",Test Case
476632,Create a new single part,42144,"User A Checked-out a Part, User B can't see changes of the Part",Test Case
476634,Check-out of single part,42144,"User A Checked-out a Part, User B can't see changes of the Part",Test Case
476639,Check-out already checked-out part,42144,"User A Checked-out a Part, User B can't see changes of the Part",Test Case
476640,"Check-out, edit and cancel check-out",42144,"User A Checked-out a Part, User B can't see changes of the Part",Test Case
476641,"User A Checked-out a Part, User B can't see changes of the Part",42144,"User A Checked-out a Part, User B can't see changes of the Part",Test Case
42785,Set the maturity level of a single part,38574,Set the maturity level of a single part,User Story
43546,Add a standard part to product EBOM,43143,Creating a new EBOM,Test Case
43319,Remove parts in the EBOM,43143,Creating a new EBOM,Test Case
43400,Adding an existing assembly part to product EBOM,43143,Creating a new EBOM,Test Case
43334,Adding new assembly part to product EBOM,43143,Creating a new EBOM,Test Case
476671,Creating a new EBOM,43143,Creating a new EBOM,Test Case
476676,Remove parts in the EBOM,43143,Creating a new EBOM,Test Case
476678,Adding new assembly part to product EBOM,43143,Creating a new EBOM,Test Case
476681,Adding an existing assembly part to product EBOM,43143,Creating a new EBOM,Test Case
476687,Add a standard part to product EBOM,43143,Creating a new EBOM,Test Case
43143,Creating a new EBOM,43319,Remove parts in the EBOM,Test Case
476671,Creating a new EBOM,43319,Remove parts in the EBOM,Test Case
476676,Remove parts in the EBOM,43319,Remove parts in the EBOM,Test Case
43143,Creating a new EBOM,43334,Adding new assembly part to product EBOM,Test Case
476671,Creating a new EBOM,43334,Adding new assembly part to product EBOM,Test Case
476678,Adding new assembly part to product EBOM,43334,Adding new assembly part to product EBOM,Test Case
43143,Creating a new EBOM,43546,Add a standard part to product EBOM,Test Case
476671,Creating a new EBOM,43546,Add a standard part to product EBOM,Test Case
476687,Add a standard part to product EBOM,43546,Add a standard part to product EBOM,Test Case
44329,Product Configurator (basic)- creation of Dictionary,41132,Product configurator (basic),User Story
44337,Product Configurator(basic) Creation of Configurator Context,41132,Product configurator (basic),User Story
42137,Check-out already checked-out part,41993,Check-out of single part,Test Case
42139,"Check-out, edit and cancel check-out",41993,Check-out of single part,Test Case
41737,Create a new single part,41993,Check-out of single part,Test Case
41737,Create a new single part,41993,Check-out of single part,Test Case
42144,"User A Checked-out a Part, User B can't see changes of the Part",41993,Check-out of single part,Test Case
476632,Create a new single part,41993,Check-out of single part,Test Case
476634,Check-out of single part,41993,Check-out of single part,Test Case
476639,Check-out already checked-out part,41993,Check-out of single part,Test Case
476640,"Check-out, edit and cancel check-out",41993,Check-out of single part,Test Case
476641,"User A Checked-out a Part, User B can't see changes of the Part",41993,Check-out of single part,Test Case
42398,Revise/create a new revision of an assembly (Versioning),36899,Revise/create a new revision of an assembly (Versioning),User Story
47591,Create DMU Group Design object,47592,Mapping of Smaragd DMU Group class (j0IMGrpM/j0IMGrp) - Follow-Up,User Story
476747,Create DMU Group Design object,47592,Mapping of Smaragd DMU Group class (j0IMGrpM/j0IMGrp) - Follow-Up,User Story
43382,Create and save assemblies in NX managed mode,36675,Create and save assemblies in NX managed mode,User Story
43919,Create and save assemblies with AWC,36675,Create and save assemblies in NX managed mode,User Story
476679,Create and save assemblies in NX managed mode,36675,Create and save assemblies in NX managed mode,User Story
476770,47704_Exploration: Deformable Parts and Flexible Parts,49367,47704_Exploration: Deformable Parts and Flexible Parts,Test Case
476679,Create and save assemblies in NX managed mode,43382,Create and save assemblies in NX managed mode,Test Case
476670,Search and Open Assembly in NX Managed mode,43136,Search and Open Assembly in NX Managed mode,Test Case
476772,Exploration: Generate an aligned engineering BOM through a workflow,49563,Exploration: Generate an aligned engineering BOM through a workflow,Test Case
42001,Create Alternative ID for existing Part,41668,Enabler / Concept of Alternate ID,User Story
42006,Search the part with alternative ID,41668,Enabler / Concept of Alternate ID,User Story
476773,Exploration: Generate aligned collaborative product engineering BOM from Design BOM,49618,Exploration: Generate aligned collaborative product engineering BOM from Design BOM,Test Case
476774,Exploration: Update an aligned engineering BOM based on design BOM changes,49626,Exploration: Update an aligned engineering BOM based on design BOM changes,Test Case
41621,Open Design part in Integrated NX from TC,41136,Establish NX integration,User Story
41683,Update & save NX part from Integrated TC NX environment,41136,Establish NX integration,User Story
42396,Revise/create a new revision of a single part (Versioning),36888,Revise/create a new revision of a single part (Versioning),User Story
476796,Exploration: DTNA structures especially for drawings,50552,Exploration: DTNA structures especially for drawings,Test Case
41737,Create a new single part,42785,Set the maturity level of a single part,Test Case
476632,Create a new single part,42785,Set the maturity level of a single part,Test Case
476664,Set the maturity level of a single part,42785,Set the maturity level of a single part,Test Case
42361,Enabler / Release the new part,36885,Enabler / Release the new part,User Story
476797,SaveMultipleDWGsFilesinOneItemRev,51440,SaveMultipleDWGsFilesinOneItemRev,Test Case
42759,Set the maturity level of an assembly,36896,Set the maturity level of an assembly,User Story
476798,Manage AO Drawings,51776,Manage AO Drawings,Test Case
42874,Create EBOM for Sample Siemens Data in Sandbox (enabler),41138,Enabler - Create EBOM for Sample Data in Sandbox environment,User Story
476667,Create EBOM for Sample Siemens Data in Sandbox (enabler),41138,Enabler - Create EBOM for Sample Data in Sandbox environment,User Story
43521,Search_Open_Geometry(single part)_in_NX_ManagedMode,33775,Search and Open geometry,User Story
61307,Test Case Example,33775,Search and Open geometry,User Story
476878,Test Case Example,33775,Search and Open geometry,User Story
476800,occurrence effectivity,51969,occurrence effectivity,Test Case
476799,Creation of Neutral drawing in Homologation,51965,Creation of Neutral drawing in Homologation,Test Case
44341,Search/Filter components/assemblies from structure using smart discovery,41130,Smart Discovery (Dev Box),User Story
44341,Search/Filter components/assemblies from structure using smart discovery,44346,Enabler/ Smart Discovery (DevBox),Test Case
476702,Search/Filter components/assemblies from structure using smart discovery,44346,Enabler/ Smart Discovery (DevBox),Test Case
476703,Enabler/ Smart Discovery (DevBox),44346,Enabler/ Smart Discovery (DevBox),Test Case
43897,Visualizing big parts within AW,43825,BUG - Development Environment | Visualization not working on Linux,Issue
43897,Visualizing big parts within AW,53635,Central Test | Visualization not working on Linux,Issue
476806,Copy or Clone existing single parts,52379,Copy or Clone existing single parts,Test Case
44702,Validating write access rules,38070,Create a concept and defining Write Access Rules - Basic Stage 1,User Story
476707,Validating write access rules,38070,Create a concept and defining Write Access Rules - Basic Stage 1,User Story
476810,"Exploration: Checkout, edit and checkin geometry",53057,"Exploration: Checkout, edit and checkin geometry",Test Case
45639,Test Case 1: Create active change,35987,Enabler / Define EBOM and work with part usages on Active Change (usage BOM - Future state),User Story
45663,test case 2: Assign active change to Engineering product BOM,35987,Enabler / Define EBOM and work with part usages on Active Change (usage BOM - Future state),User Story
45704,Test case 3: Update Collaborative product BOM under active change,35987,Enabler / Define EBOM and work with part usages on Active Change (usage BOM - Future state),User Story
45708,Test case 4: Effectivity propagation,35987,Enabler / Define EBOM and work with part usages on Active Change (usage BOM - Future state),User Story
45639,Test Case 1: Create active change,45773,Effectivity Date configuration in context of a change,Test Case
476712,Test Case 1: Create active change,45773,Effectivity Date configuration in context of a change,Test Case
476719,Effectivity Date configuration in context of a change,45773,Effectivity Date configuration in context of a change,Test Case
47597,Assign or remove object to/from project,47599,Define and add the Project Members - Follow Up,User Story
47598,Create Project and Define Project Members,47599,Define and add the Project Members - Follow Up,User Story
